temperature,moisture,gas
45.16,63.9,567.38
51.75,49.31,439.84
48.62,21.03,628.73
42.21,60.33,468.49
42.54,47.1,211.6
37.71,50.99,311.23
42.81,44.32,235.08
54.57,63.38,513.63
52.43,41.12,414.17
52.92,44.97,520.59
51.62,64.12,325.78
43.67,42.97,269.25
56.84,68.14,158.88
38.03,74.05,510.51
59.99,34.63,569.14
38.49,55.19,559.35
51.61,64.88,320.77
46.74,44.6,386.39
54.65,64.25,413.09
46.39,41.66,571.12
52.41,66.02,460.05
39.17,55.92,244.24
41.57,87.09,304.44
64.32,69.38,270.57
47.53,52.78,599.64
38.2,49.51,453.17
55.57,68.08,544.29
37.86,51.93,491.87
52.4,46.06,205.47
58.13,41.56,553.66
36.6,69.77,490.29
56.34,68.99,435.3
47.46,45.54,263.0
49.77,65.31,236.69
31.28,71.99,156.03
45.18,64.86,546.31
54.12,68.67,391.75
52.63,61.46,263.04
41.81,44.61,539.76
40.0,60.83,505.01
12.98,107.99,90.24
38.49,67.83,353.33
52.06,43.65,333.46
39.03,51.23,242.57
43.86,66.8,583.55
49.22,43.71,375.16
40.44,25.04,792.39
0.12,103.5,76.07
49.69,43.05,446.52
46.89,66.24,519.7
51.49,60.57,444.4
82.67,18.09,1276.6
45.97,67.48,392.36
54.67,45.99,345.68
35.54,44.19,403.34
39.26,65.0,216.94
57.4,52.51,389.67
59.23,44.32,220.66
59.05,57.83,564.26
53.96,49.54,249.97
46.55,52.38,534.76
36.46,67.99,204.92
51.25,45.44,262.09
78.58,-0.23,1433.41
53.95,66.72,254.96
44.71,31.61,356.63
45.21,52.57,248.77
46.23,48.54,295.42
46.09,44.94,252.84
46.15,53.62,236.18
45.64,41.77,445.3
41.65,49.31,202.17
45.0,55.0,300.0
32.38,0.0,299.0
32.38,0.0,278.0
32.38,0.0,276.0
32.38,0.0,359.0
32.19,0.0,333.0
32.25,0.0,335.0
32.25,0.0,333.0
32.19,0.0,234.0
32.19,0.0,227.0
32.13,0.0,230.0
32.38,3.0,395.0
32.0,3.0,455.0
31.56,5.0,405.0
31.44,5.0,399.0
31.44,6.0,433.0
31.44,6.0,430.0
31.37,7.0,425.0
31.37,7.0,466.0
31.37,8.0,467.0
31.37,8.0,449.0
31.37,8.0,248.0
31.37,8.0,239.0
31.25,8.0,240.0
31.19,8.0,246.0
31.06,8.0,248.0
31.0,8.0,251.0
31.0,8.0,254.0
30.94,8.0,251.0
30.94,8.0,242.0
30.88,7.0,243.0
30.88,8.0,257.0
30.88,8.0,259.0
30.94,8.0,275.0
30.94,8.0,268.0
31.0,8.0,273.0
31.0,9.0,281.0
31.06,8.0,475.0
31.12,8.0,519.0
31.12,8.0,561.0
31.12,8.0,556.0
31.19,8.0,554.0
31.25,8.0,549.0
31.25,8.0,551.0
31.31,8.0,547.0
31.31,7.0,545.0
31.31,7.0,539.0
31.37,8.0,534.0
31.37,7.0,531.0
31.37,7.0,527.0
31.37,7.0,528.0
31.44,8.0,525.0
31.44,7.0,520.0
31.44,6.0,525.0
31.5,7.0,525.0
31.44,6.0,517.0
31.5,7.0,511.0
31.5,6.0,513.0
31.5,6.0,509.0
31.5,6.0,511.0
31.56,6.0,507.0
31.56,6.0,506.0
31.56,6.0,504.0
31.56,6.0,500.0
31.56,6.0,503.0
31.56,6.0,496.0
31.62,5.0,498.0
31.62,5.0,492.0
31.62,5.0,493.0
31.62,6.0,497.0
31.62,6.0,494.0
31.62,6.0,492.0
31.62,6.0,496.0
31.69,6.0,495.0
31.69,5.0,491.0
34.25,19.0,404.0
34.19,19.0,275.0
34.13,18.0,255.0
34.13,18.0,245.0
34.06,21.0,295.0
34.06,20.0,347.0
34.06,19.0,350.0
34.0,19.0,340.0
34.0,19.0,343.0
34.0,18.0,343.0
33.94,21.0,334.0
33.94,19.0,337.0
33.94,20.0,219.0
33.88,20.0,213.0
33.88,20.0,226.0
33.81,20.0,222.0
33.81,20.0,228.0
33.81,20.0,230.0
33.81,20.0,241.0
33.81,20.0,245.0
33.81,21.0,342.0
33.81,21.0,390.0
33.81,21.0,399.0
33.81,20.0,395.0
33.81,20.0,400.0
33.81,20.0,403.0
33.81,20.0,399.0
33.75,20.0,400.0
33.75,20.0,397.0
33.75,20.0,395.0
33.75,20.0,402.0
33.75,21.0,244.0
33.75,21.0,241.0
33.75,20.0,234.0
33.75,20.0,235.0
33.69,20.0,249.0
33.75,21.0,246.0
33.75,21.0,243.0
33.75,20.0,246.0
33.75,20.0,245.0
33.75,20.0,249.0
33.75,20.0,243.0
33.75,20.0,230.0
33.75,20.0,231.0
33.69,20.0,228.0
33.69,20.0,230.0
33.69,20.0,222.0
33.63,20.0,228.0
33.63,21.0,223.0
33.63,20.0,223.0
33.63,21.0,236.0
33.56,21.0,235.0
33.56,20.0,238.0
33.56,20.0,240.0
33.56,21.0,237.0
33.5,21.0,239.0
33.5,21.0,238.0
33.44,21.0,243.0
33.44,20.0,240.0
33.44,21.0,239.0
33.44,20.0,241.0
33.44,21.0,238.0
33.44,20.0,237.0
33.38,21.0,237.0
33.38,20.0,237.0
33.38,20.0,238.0
33.38,20.0,234.0
33.31,20.0,238.0
33.31,20.0,234.0
33.38,20.0,231.0
33.31,20.0,235.0
33.31,20.0,233.0
33.25,20.0,235.0
33.25,20.0,236.0
33.25,20.0,237.0
33.25,20.0,234.0
33.19,20.0,238.0
33.25,20.0,233.0
33.19,20.0,240.0
33.19,20.0,237.0
33.13,20.0,239.0
33.19,20.0,236.0
33.13,20.0,236.0
33.13,20.0,238.0
33.13,20.0,237.0
33.06,20.0,237.0
33.13,20.0,232.0
33.06,20.0,239.0
31.56,2.0,327.0
30.75,11.0,272.0
31.0,12.0,255.0
31.12,13.0,255.0
31.19,14.0,243.0
31.19,14.0,234.0
31.19,15.0,247.0
31.12,15.0,243.0
31.12,16.0,244.0
31.12,16.0,242.0
31.12,16.0,249.0
31.12,16.0,236.0
31.12,16.0,251.0
31.12,17.0,253.0
31.12,17.0,255.0
31.19,17.0,251.0
31.19,17.0,246.0
31.25,17.0,253.0
31.25,17.0,243.0
31.25,17.0,257.0
31.19,17.0,261.0
31.19,17.0,262.0
31.19,17.0,255.0
31.19,17.0,258.0
31.19,17.0,265.0
31.19,18.0,251.0
31.19,18.0,311.0
31.19,18.0,278.0
31.19,18.0,276.0
31.19,18.0,270.0
31.19,18.0,272.0
31.19,18.0,274.0
31.19,17.0,271.0
31.25,17.0,262.0
31.25,18.0,260.0
31.25,17.0,246.0
31.31,18.0,255.0
31.31,18.0,260.0
31.37,18.0,269.0
31.37,18.0,256.0
31.44,18.0,257.0
31.44,18.0,254.0
31.44,18.0,261.0
31.44,18.0,263.0
31.44,18.0,260.0
31.44,18.0,268.0
31.44,18.0,253.0
31.44,18.0,287.0
31.44,18.0,278.0
31.5,18.0,270.0
31.56,18.0,272.0
31.62,18.0,265.0
31.62,18.0,274.0
31.69,18.0,272.0
31.69,17.0,278.0
31.75,18.0,278.0
31.75,18.0,273.0
31.75,18.0,272.0
31.75,18.0,274.0
31.75,18.0,271.0
31.75,18.0,270.0
31.81,18.0,271.0
31.81,18.0,274.0
31.81,18.0,280.0
31.81,18.0,267.0
31.81,18.0,273.0
31.87,18.0,273.0
31.87,18.0,271.0
31.62,26.0,270.0
31.56,26.0,248.0
31.62,25.0,239.0
31.56,25.0,239.0
31.56,25.0,229.0
31.5,25.0,232.0
31.5,26.0,318.0
31.44,26.0,353.0
31.5,26.0,347.0
31.5,26.0,356.0
31.5,26.0,348.0
31.5,26.0,340.0
31.44,26.0,313.0
31.44,26.0,321.0
31.44,26.0,319.0
31.44,26.0,325.0
31.44,26.0,318.0
31.5,26.0,328.0
31.62,25.0,258.0
31.69,25.0,270.0
31.75,25.0,323.0
31.81,25.0,340.0
31.81,25.0,284.0
31.81,25.0,345.0
